item_id,date,source_class,anomaly_class,symptom_summary,evidence_grade,status,independence_group,source_reference,connection_to_main_finding,publication_notes
AAR-08,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,CSV_STRUCTURE,"Header-only or structurally deficient CSV output",C,partially evidenced,OPERATOR_CSV,"E0039",unknown,"No general export conclusion"
AAR-09,2026-07,LOCAL_PDF_VISUAL_FORENSICS,CONNECTOR_SURFACE,"Reconnect Gmail card followed Library search narration",B,directly observed,OPERATOR_GMAIL_SURFACE,"E0042; SS-PUB-001",no demonstrated connection,"Does not show Gmail invocation"
AAR-10,2026-07,LOCAL_PDF_VISUAL_FORENSICS,PROGRESS_NARRATION,"Progress-like narration preceded disclosed Library retrieval errors",B,directly observed,OPERATOR_PROGRESS,"E0042; SS-PUB-002",no demonstrated connection,"Does not establish hidden execution"
AAR-11,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,RESUME_STATE,"Narrative context retained without retained physical artifacts",C,partially evidenced,OPERATOR_RESUME,"E0039",no demonstrated connection,"Interruption traces incomplete"
AAR-12,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,AUTHORITY_SUBSTITUTION,"Metadata or reconstructions appeared when authoritative bytes were unavailable",C,partially evidenced,OPERATOR_SUBSTITUTION,"E0039",related symptom only,"Substitute is not original"
AAR-13,2026-07,OPERATOR_TEST_RECORD,DOWNLOAD_REUSE,"Browser-download exposure differed from later downstream reuse",B,directly observed,OPERATOR_GZIP_DIRECT,"E0049",related symptom only,"Recorded route only"
AAR-14,2026-07,OPERATOR_TEST_RECORD,GENERATED_UPLOADED_COMPARISON,"Uploaded operational copy usable where generated object was not",B,directly observed,OPERATOR_GZIP_DIRECT,"E0045; E0049",related symptom only,"Provenance ceiling retained"
PAR-01,2026-05-29,PUBLIC_USER_REPORT,LIBRARY_VISIBILITY,"Older Library items missing while export retained older files",D,anecdotal public report,S0010,"S0010; snapshot external-only captured 2026-07-16",possibly adjacent,"Anecdotal; non-reproduction present"
PAR-02,2026-06-08,PUBLIC_USER_REPORT,LIBRARY_DELETION,"Delete confirmation had no effect and user reported 404",D,anecdotal public report,S0011,"S0011; snapshot external-only captured 2026-07-16",possibly adjacent,"Anecdotal"
PAR-03,2026-07-09,PUBLIC_USER_REPORT,PICKER_NAVIGATION,"Requested Library browsing while attaching",D,contradicted or mismatched,S0012,"S0012; snapshot external-only captured 2026-07-16",related symptom only,"Current docs later describe Add from library"
PAR-04,2026-06-09,PUBLIC_USER_REPORT,ZIP_DOWNLOAD,"Incomplete export ZIPs with extraction errors",D,anecdotal public report,S0013,"S0013; snapshot external-only captured 2026-07-16",related symptom only,"Anecdotal"
PAR-05,2026-03-11,PUBLIC_USER_REPORT,GENERATED_ARTIFACT_DOWNLOAD,"Generated ZIP or document downloads failed; recovery posts also present",D,anecdotal public report,S0015,"S0015; snapshot external-only captured 2026-07-16",related symptom only,"Anecdotal and transient"
PAR-06,2026-01-29,PUBLIC_USER_REPORT,AGENT_PERSISTENCE,"Knowledge inaccessible with Updates Pending not persisting",D,anecdotal public report,S0037,"S0037; snapshot external-only captured 2026-07-16",no demonstrated connection,"S0038 cross-post excluded"
PAR-07,2026-07,PUBLIC_USER_REPORT,SOURCE_CONTENT_DIVERGENCE,"Visible source names but unavailable content",D,anecdotal public report,S0024,"S0024; external-only",possibly adjacent,"Assistant diagnosis excluded"
PAR-08,2026-01-20,PUBLIC_USER_REPORT,MOBILE_FILE_REFERENCE,"Mobile MCP upload references incomplete versus web",D,anecdotal public report,S0026,"S0026; snapshot external-only captured 2026-07-16",no demonstrated connection,"Apps SDK scope; no maintainer confirmation"
PAR-09,2024-04-12,PUBLIC_USER_REPORT,WRONG_OBJECT_RETRIEVAL,"Assistant API report of inaccessible or wrong uploaded file",D,anecdotal public report,S0027,"S0027; snapshot external-only captured 2026-07-16",related symptom only,"Historical API; heterogeneous alternatives"
PAR-10,2026-06-24,PUBLIC_USER_REPORT,DOWNLOAD_LIBRARY_DIVERGENCE,"Downloadable files or images reportedly absent from Library",D,anecdotal public report,S0028,"S0028; external-only",related symptom only,"Anecdotal"
PAR-11,2025-04-05,PUBLIC_USER_REPORT,IMAGE_OPENING,"Downloaded generated PNG reportedly would not open",D,anecdotal public report,S0031,"S0031; external-only",unknown,"No bytes supplied"
PAR-12,2025-01_TO_2025-06,PUBLIC_USER_REPORT,SPREADSHEET_HANDLING,"Incorrect spreadsheet values or CSV/XLSX visualization/export errors",D,anecdotal public report,S0039;S0040,"S0039; S0040; external-only",unknown,"Two separate reports; no fixtures"
PAR-13,2026-06-26,PUBLIC_USER_REPORT,PDF_EXTRACTION,"Unsupported values reported from mixed text/image PDF",D,anecdotal public report,S0041,"S0041; external-only",unknown,"No PDF or output supplied"
